,timestamps,anomalies,threshold,precision,recall,f1,pr_auc,roc_auc
LSTM autoencoder,28383.0,2694.0,10.330858798882966,0.23798751244231292,0.9762435040831478,0.3826846125863951,0.5975109609304058,0.917016787203614
TiReX zero-shot,28383.0,2694.0,70.12109720691542,0.3373178931639895,0.3351893095768374,0.3362502327313349,0.2897698704668893,0.728708595127203
